timestamp,open,high,low,close,volume,open_interest,trading_day,symbol,strike,option_type,expiry
2026-08-18 03:08:59.286823+05:30,538.9,538.9,538.9,538.9,554710.0,58890.0,2026-08-18,NIFTY,23800.0,CE,2026-08-18
2026-08-18 03:08:59.286823+05:30,60.6,60.6,60.6,60.6,394773860.0,6259890.0,2026-08-18,NIFTY,24350.0,PE,2026-08-18
2026-08-18 03:08:59.286823+05:30,29.5,29.5,29.5,29.5,474157190.0,11326380.0,2026-08-18,NIFTY,24400.0,CE,2026-08-18
2026-08-18 03:08:59.286823+05:30,90.4,90.4,90.4,90.4,276954080.0,5145790.0,2026-08-18,NIFTY,24400.0,PE,2026-08-18
2026-08-18 03:08:59.286823+05:30,17.2,17.2,17.2,17.2,246427350.0,6245590.0,2026-08-18,NIFTY,24450.0,CE,2026-08-18
2026-08-18 03:08:59.286823+05:30,127.5,127.5,127.5,127.5,90558130.0,1718340.0,2026-08-18,NIFTY,24450.0,PE,2026-08-18
2026-08-18 03:08:59.286823+05:30,10.1,10.1,10.1,10.1,306292545.0,12819365.0,2026-08-18,NIFTY,24500.0,CE,2026-08-18
2026-08-18 03:08:59.286823+05:30,171.0,171.0,171.0,171.0,72674355.0,2764190.0,2026-08-18,NIFTY,24500.0,PE,2026-08-18
2026-08-18 03:08:59.286823+05:30,6.1,6.1,6.1,6.1,155911600.0,6292000.0,2026-08-18,NIFTY,24550.0,CE,2026-08-18
2026-08-18 03:08:59.286823+05:30,49.0,49.0,49.0,49.0,435303440.0,7402655.0,2026-08-18,NIFTY,24350.0,CE,2026-08-18
2026-08-18 03:08:59.286823+05:30,216.5,216.5,216.5,216.5,11762855.0,350545.0,2026-08-18,NIFTY,24550.0,PE,2026-08-18
2026-08-18 03:08:59.286823+05:30,264.5,264.5,264.5,264.5,12953135.0,1297270.0,2026-08-18,NIFTY,24600.0,PE,2026-08-18
2026-08-18 03:08:59.286823+05:30,2.9,2.9,2.9,2.9,112434530.0,5333770.0,2026-08-18,NIFTY,24650.0,CE,2026-08-18
2026-08-18 03:08:59.286823+05:30,2.25,2.25,2.25,2.25,138672300.0,10395385.0,2026-08-18,NIFTY,24700.0,CE,2026-08-18
2026-08-18 03:08:59.286823+05:30,363.8,363.8,363.8,363.8,2593175.0,511615.0,2026-08-18,NIFTY,24700.0,PE,2026-08-18
2026-08-18 03:08:59.286823+05:30,1.65,1.65,1.65,1.65,103217075.0,4554355.0,2026-08-18,NIFTY,24750.0,CE,2026-08-18
2026-08-18 03:08:59.286823+05:30,411.9,411.9,411.9,411.9,467935.0,99190.0,2026-08-18,NIFTY,24750.0,PE,2026-08-18
2026-08-18 03:08:59.286823+05:30,1.3,1.3,1.3,1.3,113627020.0,8667685.0,2026-08-18,NIFTY,24800.0,CE,2026-08-18
2026-08-18 03:08:59.286823+05:30,463.35,463.35,463.35,463.35,1371825.0,264940.0,2026-08-18,NIFTY,24800.0,PE,2026-08-18
2026-08-18 03:08:59.286823+05:30,4.0,4.0,4.0,4.0,193556805.0,10500685.0,2026-08-18,NIFTY,24600.0,CE,2026-08-18
2026-08-18 03:08:59.286823+05:30,38.45,38.45,38.45,38.45,681381675.0,14618045.0,2026-08-18,NIFTY,24300.0,PE,2026-08-18
2026-08-18 03:08:59.286823+05:30,313.2,313.2,313.2,313.2,2252770.0,169000.0,2026-08-18,NIFTY,24650.0,PE,2026-08-18
2026-08-18 03:08:59.286823+05:30,23.8,23.8,23.8,23.8,446663815.0,8689200.0,2026-08-18,NIFTY,24250.0,PE,2026-08-18
2026-08-18 03:08:59.286823+05:30,77.2,77.2,77.2,77.2,531770980.0,6413420.0,2026-08-18,NIFTY,24300.0,CE,2026-08-18
2026-08-18 03:08:59.286823+05:30,1.25,1.25,1.25,1.25,92189695.0,5982015.0,2026-08-18,NIFTY,23800.0,PE,2026-08-18
2026-08-18 03:08:59.286823+05:30,489.65,489.65,489.65,489.65,147875.0,37830.0,2026-08-18,NIFTY,23850.0,CE,2026-08-18
2026-08-18 03:08:59.286823+05:30,1.7,1.7,1.7,1.7,78485095.0,2349230.0,2026-08-18,NIFTY,23850.0,PE,2026-08-18
2026-08-18 03:08:59.286823+05:30,2.15,2.15,2.15,2.15,107090685.0,6525350.0,2026-08-18,NIFTY,23900.0,PE,2026-08-18
2026-08-18 03:08:59.286823+05:30,390.75,390.75,390.75,390.75,570635.0,55705.0,2026-08-18,NIFTY,23950.0,CE,2026-08-18
2026-08-18 03:08:59.286823+05:30,2.55,2.55,2.55,2.55,90442560.0,3701555.0,2026-08-18,NIFTY,23950.0,PE,2026-08-18
2026-08-18 03:08:59.286823+05:30,341.25,341.25,341.25,341.25,10325445.0,405535.0,2026-08-18,NIFTY,24000.0,CE,2026-08-18
2026-08-18 03:08:59.286823+05:30,3.2,3.2,3.2,3.2,177297185.0,11440975.0,2026-08-18,NIFTY,24000.0,PE,2026-08-18
2026-08-18 03:08:59.286823+05:30,439.8,439.8,439.8,439.8,1031225.0,84370.0,2026-08-18,NIFTY,23900.0,CE,2026-08-18
2026-08-18 03:08:59.286823+05:30,4.05,4.05,4.05,4.05,125459425.0,3630575.0,2026-08-18,NIFTY,24050.0,PE,2026-08-18
2026-08-18 03:08:59.286823+05:30,244.5,244.5,244.5,244.5,26639470.0,482040.0,2026-08-18,NIFTY,24100.0,CE,2026-08-18
2026-08-18 03:08:59.286823+05:30,6.1,6.1,6.1,6.1,202796685.0,7254520.0,2026-08-18,NIFTY,24100.0,PE,2026-08-18
2026-08-18 03:08:59.286823+05:30,197.95,197.95,197.95,197.95,33294820.0,396240.0,2026-08-18,NIFTY,24150.0,CE,2026-08-18
2026-08-18 03:08:59.286823+05:30,8.7,8.7,8.7,8.7,199540380.0,6395025.0,2026-08-18,NIFTY,24150.0,PE,2026-08-18
2026-08-18 03:08:59.286823+05:30,152.4,152.4,152.4,152.4,153787075.0,1765595.0,2026-08-18,NIFTY,24200.0,CE,2026-08-18
2026-08-18 03:08:59.286823+05:30,13.95,13.95,13.95,13.95,383136455.0,10639655.0,2026-08-18,NIFTY,24200.0,PE,2026-08-18
2026-08-18 03:08:59.286823+05:30,292.35,292.35,292.35,292.35,3604705.0,75855.0,2026-08-18,NIFTY,24050.0,CE,2026-08-18
2026-08-18 03:08:59.286823+05:30,112.4,112.4,112.4,112.4,239078060.0,1874210.0,2026-08-18,NIFTY,24250.0,CE,2026-08-18
2026-08-18 14:03:00+05:30,1.0,1.0,1.0,1.0,298353185.0,18641545.0,2026-08-18,,24400.0,CE,2026-08-18
2026-08-18 14:03:00+05:30,259.0,259.0,259.0,259.0,2073500.0,181025.0,2026-08-18,,23950.0,CE,2026-08-18
2026-08-18 14:03:00+05:30,191.3,191.3,191.3,191.3,63677900.0,2463500.0,2026-08-18,,24400.0,PE,2026-08-18
2026-08-18 14:03:00+05:30,0.4,0.4,0.4,0.4,78767000.0,9044750.0,2026-08-18,,23900.0,PE,2026-08-18
2026-08-18 14:03:00+05:30,0.75,0.75,0.75,0.75,159136250.0,9958065.0,2026-08-18,,24450.0,CE,2026-08-18
2026-08-18 14:03:00+05:30,0.3,0.3,0.3,0.3,35451520.0,3428620.0,2026-08-18,,23850.0,PE,2026-08-18
2026-08-18 14:03:00+05:30,309.45,309.45,309.45,309.45,1592435.0,159965.0,2026-08-18,,23900.0,CE,2026-08-18
2026-08-18 14:03:00+05:30,0.65,0.65,0.65,0.65,187468840.0,17036565.0,2026-08-18,,24500.0,CE,2026-08-18
